,Responce_Time,Cores,Memory
0,3.8455,4,8
1,3.8191,4,8
2,3.8634,4,8
3,3.5061,4,8
4,3.4598,4,8
5,3.5469,4,8
6,3.6727,4,8
7,3.6933,4,8
8,3.6498,4,8
9,3.7082,4,8
10,3.741,4,8
11,3.6761,4,8
12,3.833,4,8
13,3.8056,4,8
14,3.8578,4,8
15,4.0807,4,8
16,4.0717,4,8
17,4.1164,4,8
18,3.7095,4,8
19,3.7507,4,8
20,3.6635,4,8
21,3.9735,4,8
22,3.951,4,8
23,3.9984,4,8
24,3.7492,4,8
25,3.7743,4,8
26,3.7127,4,8
27,4.0879,4,8
28,4.079,4,8
29,4.1131,4,8
30,4.4633,8,16
31,4.4321,8,16
32,4.4779,8,16
33,3.9523,8,16
34,3.9066,8,16
35,3.9857,8,16
36,4.2953,8,16
37,4.2866,8,16
38,4.3247,8,16
39,4.3491,8,16
40,4.3636,8,16
41,4.3313,8,16
42,4.4558,8,16
43,4.4289,8,16
44,4.4851,8,16
45,3.9958,8,16
46,3.9641,8,16
47,4.0015,8,16
48,3.6184,8,16
49,3.6291,8,16
50,3.6091,8,16
51,3.8506,8,16
52,3.844,8,16
53,3.8246,8,16
54,3.7288,8,16
55,3.7585,8,16
56,3.6959,8,16
57,3.9914,8,16
58,3.9688,8,16
59,4.01,8,16
